event,result,white_elo,black_elo,eco,event_type,rd_white,rd_black,flag_white,flag_black,play_time_white,play_time_black,rated,time,increment,rating_diff
Rated Rapid game,0-1,924,833,C45,rapid,,,,,,,1,600,0,91
Rated Rapid game,0-1,1500,1537,D02,rapid,131,,,,37310,,1,600,0,-37
Rated Rapid game,0-1,2086,2114,B22,rapid,,,,,,,1,600,0,-28
Rated Rapid game,0-1,1027,1051,C23,rapid,65,46,US,,55941,1032020,1,600,0,-24
Rated Rapid game,0-1,1271,1252,C65,rapid,,64,,,,1238708,1,600,0,19
Rated Rapid game,0-1,697,883,D00,rapid,,147,,,,18275,1,600,0,-186
Rated Rapid game,0-1,2021,1981,B30,rapid,62,61,,,2604824,777932,1,600,0,40
Rated Rapid game,0-1,1788,1866,D20,rapid,45,,RU,,10037486,,1,600,0,-78
Rated Rapid game,0-1,1801,1745,B02,rapid,78,,,,146475,,1,600,0,56
Rated Rapid game,0-1,1187,1242,B10,rapid,,,,,,,1,600,0,-55
Rated Rapid game,0-1,957,942,B01,rapid,88,60,,,36552,118073,1,600,0,15
Rated Rapid game,0-1,1680,1692,C42,rapid,,,,,,,1,600,0,-12
Rated Rapid game,0-1,766,820,C20,rapid,,88,,,,368966,1,600,0,-54
Rated Rapid game,0-1,1406,1443,B06,rapid,96,49,,,543209,664346,1,600,5,-37
Rated Rapid game,0-1,1606,1584,B12,rapid,,91,,,,207804,1,600,5,22
Rated Rapid game,0-1,2000,2076,C34,rapid,,,,,,,1,600,5,-76
Rapid swiss,0-1,1816,1934,D00,rapid,,,,,,,0,600,0,-118
Rated Rapid game,0-1,1574,1635,D10,rapid,,,,,,,1,600,0,-61
Rated Rapid game,0-1,1540,1553,C25,rapid,,45,,PT,,18007522,1,600,0,-13
Rated Rapid game,0-1,1289,1271,B01,rapid,,84,,,,536880,1,600,0,18
Rated Rapid tournament,0-1,1576,1712,B23,rapid,57,,,,5084417,,1,600,0,-136
Rated Rapid game,0-1,1506,1556,C41,rapid,,46,,RU,,11512867,1,600,0,-50
Rated Rapid game,0-1,782,786,A00,rapid,,,,,,,1,600,0,-4
Rated Rapid game,0-1,947,1020,C40,rapid,,,,,,,1,600,5,-73
Rated Rapid game,0-1,1041,1032,B40,rapid,,,,,,,1,600,0,9
Rated Rapid game,0-1,1154,1079,D00,rapid,,94,,,,98978,1,600,0,75
Rated Rapid game,0-1,1123,1051,A41,rapid,,,,,,,1,600,5,72
Rated Rapid game,0-1,1875,1879,A40,rapid,66,47,,,4943036,1667825,1,600,0,-4
Rated Rapid game,0-1,939,916,C47,rapid,45,98,,,1180853,22910,1,600,0,23
Rated Rapid game,0-1,1894,1926,D00,rapid,45,,HR,,9925297,,1,600,0,-32
Rated Rapid game,0-1,1135,1108,C22,rapid,51,,,,548879,,1,600,0,27
Rated Rapid game,0-1,1349,1354,B10,rapid,95,,,,33832,,1,600,0,-5
Rated Rapid game,0-1,2150,2166,B32,rapid,46,85,RU,,13606637,5950452,1,600,0,-16
Rated Rapid game,0-1,1751,1715,B00,rapid,57,45,,,82456,14072504,1,600,5,36
Rated Rapid game,0-1,1632,1588,B21,rapid,84,,,,2228850,,1,600,0,44
Rated Rapid game,0-1,1447,1454,C47,rapid,,,,,,,1,600,0,-7
Rated Rapid tournament,0-1,1182,1310,D00,rapid,,,,,,,1,300,5,-128
Rated Rapid game,0-1,1096,1129,C41,rapid,,,,,,,1,600,5,-33
Rated Rapid game,0-1,1618,1624,B10,rapid,,91,,IN,,520262,1,600,5,-6
Rated Rapid game,0-1,1864,1969,A41,rapid,,,,,,,1,600,0,-105
Rated Rapid game,0-1,1897,1913,A03,rapid,,,,,,,1,600,0,-16
Rated Rapid game,0-1,489,782,A00,rapid,,71,,,,81701,1,600,0,-293
Rated Rapid game,0-1,1462,1505,A34,rapid,88,45,FI,BG,457964,3933027,1,600,0,-43
Rated Rapid game,0-1,1888,1793,A45,rapid,,,,,,,1,600,0,95
Rated Rapid game,0-1,1084,1190,C20,rapid,57,,,,173102,,1,900,10,-106
Rated Rapid game,0-1,1942,1943,A40,rapid,,45,,,,4462075,1,600,0,-1
Rated Rapid game,0-1,2049,2007,E61,rapid,,,,,,,1,600,0,42
Rated Rapid game,0-1,682,819,C42,rapid,,45,,,,351874,1,600,0,-137
Rated Rapid game,0-1,2225,2194,A40,rapid,79,50,,,5069761,15249858,1,600,0,31
Rated Rapid game,0-1,1777,1792,C60,rapid,,45,,RU,-1,16736105,1,600,0,-15
Rated Rapid game,0-1,1686,1688,A00,rapid,,,,,,,1,600,0,-2
Rated Rapid game,0-1,1502,1485,C50,rapid,,93,,,,76012,1,600,0,17
Rated Rapid game,0-1,979,747,C20,rapid,,,,,,,1,600,5,232
Rated Rapid game,0-1,987,1043,B20,rapid,45,,,,4051000,,1,600,0,-56
Rated Rapid tournament,0-1,1097,763,A00,rapid,,,,,,,1,600,0,334
Rated Rapid game,0-1,1393,1377,C44,rapid,45,70,,,4695701,483460,1,600,0,16
Rated Rapid game,0-1,1660,1674,C31,rapid,,45,,,,9246417,1,600,0,-14
Rated Rapid game,0-1,1678,1719,A45,rapid,,,,,,,1,600,5,-41
Rated Rapid game,0-1,1548,1546,D00,rapid,47,,,,4014593,,1,600,0,2
Rapid swiss,0-1,922,785,A00,rapid,,,,,,,0,600,2,137
Rated Rapid game,0-1,1935,1929,C41,rapid,,45,,,,7848806,1,600,0,6
Rated Rapid game,0-1,1495,1493,C40,rapid,45,89,,,7758762,870125,1,600,0,2
Rated Rapid game,0-1,2184,2061,C40,rapid,71,75,,ID,2212939,495057,1,600,0,123
Rated Rapid game,0-1,1607,1687,B00,rapid,58,45,LY,,1141582,855451,1,600,0,-80
Rated Rapid tournament,0-1,1420,2144,B01,rapid,,,,,,,1,300,5,-724
Rated Rapid game,0-1,1930,1921,B01,rapid,,,,,,,1,600,0,9
Rated Rapid game,0-1,1325,1309,A40,rapid,,,,,,,1,600,0,16
Rated Rapid game,0-1,1691,1692,B10,rapid,46,,,,5988542,,1,600,0,-1
Rated Rapid game,0-1,1978,2032,A40,rapid,90,59,RU,RU,159369,7262563,1,600,0,-54
Rated Rapid game,0-1,1311,1340,C44,rapid,,,,,,,1,600,0,-29
Rated Rapid game,0-1,1562,1551,B30,rapid,,,,,,,1,600,0,11
Rated Rapid game,0-1,1494,1488,B12,rapid,45,,ES-CT,,6139951,,1,600,0,6
Rated Rapid game,0-1,1249,1153,C40,rapid,,,,,,,1,600,0,96
Rated Rapid game,0-1,1669,1626,C30,rapid,45,88,,,3064421,580682,1,600,0,43
Rated Rapid tournament,0-1,1320,1773,C44,rapid,,,,,,,1,480,0,-453
Rated Rapid tournament,0-1,703,674,C64,rapid,,,,,,,1,600,5,29
Rated Rapid game,0-1,1486,1488,C22,rapid,,45,,,,5932386,1,600,0,-2
Rated Rapid game,0-1,1291,1264,C20,rapid,,,,,,,1,600,0,27
Rated Rapid game,0-1,1759,1741,B01,rapid,,,,,,,1,600,0,18
Rated Rapid game,0-1,1322,1315,C50,rapid,,,,,,,1,600,0,7
Rated Rapid game,0-1,1398,1403,C50,rapid,,,,,,,1,600,5,-5
Rated Rapid tournament,0-1,979,1349,C34,rapid,,78,,,,41538,1,600,5,-370
Rated Rapid game,0-1,1228,1164,C00,rapid,45,,,,727161,,1,600,0,64
Rated Rapid game,0-1,1639,1624,A50,rapid,52,,,,772226,,1,600,0,15
Rated Rapid game,0-1,1150,1105,D05,rapid,90,45,,,432317,13432275,1,600,0,45
Rated Rapid game,0-1,809,806,C20,rapid,,,,,,,1,600,0,3
Rated Rapid game,0-1,2158,2108,C31,rapid,85,45,,,5950452,1855498,1,600,0,50
Rated Rapid game,0-1,1499,1564,A00,rapid,45,49,,,11398402,2314456,1,600,3,-65
Rated Rapid game,0-1,1957,1943,A80,rapid,48,,RU,,5078062,,1,600,5,14
Rated Rapid game,0-1,1074,1105,A40,rapid,46,,,,843800,,1,600,0,-31
Rated Rapid game,0-1,1645,1616,D00,rapid,,,,,,,1,600,0,29
Rated Rapid game,0-1,1401,1371,A40,rapid,60,,,,485857,,1,600,0,30
Rapid swiss,0-1,777,907,A00,rapid,138,105,,,8888,15150,0,600,2,-130
Rated Rapid game,0-1,1863,1844,C41,rapid,53,96,,,866125,28274,1,600,0,19
Rated Rapid game,0-1,1499,1559,B00,rapid,,72,,,,1212894,1,600,0,-60
Rated Rapid game,0-1,1607,1612,C43,rapid,,45,,RU,,5468192,1,600,0,-5
Rated Rapid game,0-1,1746,1719,B13,rapid,,,,,,,1,600,0,27
Rated Rapid game,0-1,2140,2196,B00,rapid,,,,,,,1,600,5,-56
Rated Rapid game,0-1,1366,1368,C88,rapid,,,,,,,1,600,5,-2
Rated Rapid game,0-1,1749,1763,D02,rapid,,,,,,,1,600,0,-14
Rated Rapid game,0-1,1472,1502,A45,rapid,,,,,,,1,600,0,-30
Rated Rapid game,0-1,1486,1469,A02,rapid,,79,,FR,,3074982,1,600,0,17
Rated Rapid game,0-1,1729,1689,A00,rapid,,,,,,,1,600,0,40
Rated Rapid tournament,0-1,1531,1522,C50,rapid,,,,,,,1,600,0,9
Rated Rapid tournament,0-1,1444,1705,B06,rapid,,45,,,,23551296,1,600,0,-261
Rated Rapid game,0-1,2116,2187,C42,rapid,45,51,NL,,5451740,5554742,1,600,0,-71
Rated Rapid game,0-1,1768,1767,C21,rapid,46,55,,,3079569,4880170,1,600,0,1
Rated Rapid game,0-1,1080,1095,A20,rapid,,,,,,,1,600,0,-15
Rated Rapid game,0-1,1622,1653,A40,rapid,45,51,,,7436297,1480111,1,600,0,-31
Rated Rapid game,0-1,1376,1446,B21,rapid,70,51,,SM,557776,315580,1,600,0,-70
Rated Rapid game,0-1,1735,1833,A22,rapid,50,,,,4124130,,1,600,5,-98
Rated Rapid game,0-1,1163,1730,C25,rapid,,45,,,,473712499,1,600,3,-567
Rated Rapid game,0-1,1713,1678,C45,rapid,45,,,,11433403,,1,600,0,35
Rated Rapid game,0-1,714,837,C23,rapid,,,,,,,1,600,5,-123
Rated Rapid game,0-1,1318,1252,A00,rapid,62,,IR,,663270,,1,600,0,66
Rated Rapid game,0-1,1705,1576,B01,rapid,,,,,,,1,600,0,129
Rated Rapid game,0-1,1884,1853,C01,rapid,45,,IT,,1178503,,1,600,0,31
Rated Rapid game,0-1,778,772,C44,rapid,90,45,,,30409,568137,1,600,0,6
Rated Rapid game,0-1,2079,2018,D35,rapid,60,46,,IQ,357938,5580599,1,600,0,61
Rated Rapid game,0-1,1522,1499,C02,rapid,,45,,,,1495750,1,600,5,23
Rated Rapid game,0-1,1120,1222,A49,rapid,,89,,,,62638,1,600,0,-102
Rated Rapid game,0-1,1621,1612,C69,rapid,51,,,,165662,,1,600,0,9
Rated Rapid game,0-1,1118,1183,C00,rapid,,91,,,,51475,1,600,0,-65
Rated Rapid game,0-1,1917,1926,B00,rapid,,45,,IN,,16441397,1,600,0,-9
Rated Rapid game,0-1,1773,1763,D20,rapid,77,,,,445095,,1,600,0,10
Rated Rapid game,0-1,2028,1945,B30,rapid,,81,,,,5257416,1,600,5,83
Rated Rapid game,0-1,1938,1996,B06,rapid,53,,,,4566242,,1,600,0,-58
Rated Rapid tournament,0-1,1373,1429,C02,rapid,66,,,,203206,,1,600,0,-56
Rated Rapid game,0-1,1039,1028,B00,rapid,,,,,,,1,600,5,11
Rated Rapid game,0-1,1824,1791,B06,rapid,62,,,,957854,,1,600,0,33
Rated Rapid game,0-1,1590,1684,C21,rapid,88,,RU,,1798284,,1,600,0,-94
Rated Rapid game,0-1,1770,1815,B06,rapid,45,,AF,,3189220,,1,600,0,-45
Rated Rapid game,0-1,2180,2153,C10,rapid,,,,,,,1,600,0,27
Rated Rapid game,0-1,1161,1113,C25,rapid,,,,,,,1,600,0,48
Rated Rapid game,0-1,1621,1601,B20,rapid,,,,,,,1,600,0,20
Rated Rapid game,0-1,996,998,A00,rapid,45,76,,,30836745,291401,1,600,0,-2
Rated Rapid game,0-1,1930,1909,C20,rapid,45,45,,AR,10352613,11240381,1,600,0,21
Rated Rapid game,0-1,954,980,A06,rapid,,45,,,,30836745,1,600,0,-26
Rated Rapid game,0-1,1715,1738,B50,rapid,45,,,,3725111,,1,600,0,-23
Rated Rapid game,0-1,1447,1507,B10,rapid,,49,,IN,,385477,1,600,0,-60
Rated Rapid game,0-1,1531,1552,B20,rapid,,45,,FR,,4356054,1,600,0,-21
Rated Rapid game,0-1,1837,1657,B06,rapid,,,,,,,1,600,0,180
Rated Rapid game,0-1,1201,1246,B23,rapid,,,,,,,1,600,5,-45
Rated Rapid game,0-1,1074,1064,C55,rapid,55,,,,891368,,1,600,0,10
Rated Rapid game,0-1,1999,2021,C58,rapid,49,58,PL,,17764096,983128,1,600,0,-22
Rated Rapid game,0-1,1391,1457,B20,rapid,87,,,,2216276,,1,600,0,-66
Rated Rapid game,0-1,821,1190,C44,rapid,97,,,,53357,,1,900,0,-369
Rated Rapid game,0-1,932,951,B01,rapid,,,,,,,1,600,5,-19
Rated Rapid game,0-1,1690,1723,C15,rapid,45,45,,,2314043,31604055,1,600,0,-33
Rated Rapid game,0-1,1159,1216,C41,rapid,,,,,,,1,600,0,-57
Rated Rapid game,0-1,1446,1417,C42,rapid,45,45,,,2523285,6280064,1,600,0,29
Rated Rapid game,0-1,744,757,B00,rapid,,,,,,,1,600,0,-13
Rated Rapid tournament,0-1,867,942,A40,rapid,,,,,,,1,900,5,-75
Rated Rapid tournament,0-1,1309,1412,C50,rapid,46,,IR,,822329,,1,600,0,-103
Rated Rapid game,0-1,1694,1685,B06,rapid,,45,,,,31604055,1,600,0,9
Rated Rapid game,0-1,1870,1877,C50,rapid,,45,,,,29123560,1,600,0,-7
Rated Rapid game,0-1,1325,1301,C57,rapid,46,,IN,,1260332,,1,600,0,24
Rated Rapid game,0-1,1394,1421,A00,rapid,,,,,,,1,1260,3,-27
Rated Rapid game,0-1,1774,1770,B10,rapid,52,45,,US,2848874,7120752,1,600,5,4
Rated Rapid game,0-1,1912,2046,D02,rapid,58,45,,,2665877,2946985,1,600,0,-134
Rated Rapid game,0-1,1253,1251,C57,rapid,,,,,,,1,600,5,2
Rated Rapid game,0-1,1309,1233,C24,rapid,45,84,,,1418451,107530,1,600,0,76
Rated Rapid game,0-1,1605,1615,A46,rapid,,82,,,,95961,1,600,0,-10
Rated Rapid game,0-1,1641,1645,B00,rapid,,,,,,,1,600,0,-4
Rated Rapid tournament,0-1,1095,957,C40,rapid,,,,,,,1,420,3,138
Rated Rapid game,0-1,1182,1236,C41,rapid,60,,,,2965655,,1,600,5,-54
Rated Rapid game,0-1,829,804,A41,rapid,45,56,,,15390417,1446689,1,600,0,25
Rated Rapid game,0-1,2007,2040,C25,rapid,,59,,RU,,7262563,1,600,0,-33
Rated Rapid game,0-1,1745,1715,C50,rapid,71,74,PL,,1592594,3160132,1,600,5,30
Rated Rapid tournament,0-1,2175,1988,A48,rapid,129,,GT,,1558922,,1,600,2,187
Rated Rapid game,0-1,1460,1383,A06,rapid,,,,,,,1,600,0,77
Rated Rapid game,0-1,1561,1621,B01,rapid,45,,,,1635860,,1,600,5,-60
Rated Rapid game,0-1,1663,1665,A40,rapid,45,45,,,3264662,5153640,1,600,0,-2
Rated Rapid game,0-1,1460,1455,C25,rapid,45,87,,,3410811,43443,1,600,0,5
Rated Rapid game,0-1,1638,1568,C44,rapid,,81,,,,365022,1,600,0,70
Rated Rapid game,0-1,954,1067,C50,rapid,,,,,,,1,600,0,-113
Rated Rapid game,0-1,2186,2657,A09,rapid,45,,,,19426768,,1,600,1,-471
Rated Rapid game,0-1,1500,1587,C00,rapid,,,,,,,1,300,5,-87
Rated Rapid game,0-1,1837,1854,C62,rapid,,90,,,,416954,1,600,0,-17
Rated Rapid tournament,0-1,897,1573,B01,rapid,63,65,,IN,161845,366538,1,600,3,-676
Rated Rapid game,0-1,1512,1511,A35,rapid,45,89,,,2358020,482151,1,600,5,1
Rated Rapid game,0-1,2253,2303,B13,rapid,,,,,,,1,600,5,-50
Rated Rapid game,0-1,1555,1610,A06,rapid,,45,,,,4192463,1,600,0,-55
Rated Rapid game,0-1,2048,2060,A13,rapid,,,,,,,1,600,0,-12
Rated Rapid game,0-1,1162,1221,C47,rapid,78,45,,,59637,1556268,1,600,5,-59
Rated Rapid game,0-1,1770,1822,C10,rapid,45,,,,5244144,,1,600,5,-52
Rated Rapid game,0-1,1088,1135,C00,rapid,,,,,,,1,600,0,-47
Rated Rapid game,0-1,1908,1870,A00,rapid,45,45,IT,,1178503,3780960,1,600,0,38
Rated Rapid game,0-1,1708,1706,D50,rapid,,,,,,,1,600,0,2
Rated Rapid game,0-1,1626,1658,B00,rapid,45,,,,1003373,,1,600,0,-32
